phase,train_fraction,method,queue_run,severity,corruption,it_total_ood_auroc,it_epistemic_ood_auroc,it_aleatoric_ood_auroc
full-data,1.0,postnet,8ugac5sn,3,shot_noise,0.826262,0.806854,0.826344
full-data,1.0,postnet,8ugac5sn,3,snow,0.651630,0.611164,0.652221
full-data,1.0,postnet,8ugac5sn,3,zoom_blur,0.773702,0.710018,0.774401
full-data,1.0,postnet,8ugac5sn,4,brightness,0.522612,0.509155,0.522858
full-data,1.0,postnet,8ugac5sn,4,contrast,0.661624,0.587616,0.662618
full-data,1.0,postnet,8ugac5sn,4,defocus_blur,0.757304,0.693042,0.758042
full-data,1.0,postnet,8ugac5sn,4,elastic,0.728080,0.664603,0.728864
full-data,1.0,postnet,8ugac5sn,4,fog,0.593118,0.562846,0.593625
full-data,1.0,postnet,8ugac5sn,4,frost,0.731962,0.700610,0.732391
full-data,1.0,postnet,8ugac5sn,4,frosted_glass_blur,0.854041,0.793675,0.854609
full-data,1.0,postnet,8ugac5sn,4,gaussian_noise,0.872450,0.807637,0.872867
full-data,1.0,postnet,8ugac5sn,4,impulse_noise,0.872139,0.742519,0.873033
full-data,1.0,postnet,8ugac5sn,4,jpeg,0.752971,0.693926,0.753701
full-data,1.0,postnet,8ugac5sn,4,motion_blur,0.744925,0.673936,0.745759
full-data,1.0,postnet,8ugac5sn,4,pixelate,0.746104,0.713503,0.746484
full-data,1.0,postnet,8ugac5sn,4,shot_noise,0.853292,0.819845,0.853484
full-data,1.0,postnet,8ugac5sn,4,snow,0.674996,0.631668,0.675637
full-data,1.0,postnet,8ugac5sn,4,zoom_blur,0.823640,0.752368,0.824318
full-data,1.0,postnet,8ugac5sn,5,brightness,0.556043,0.525852,0.556566
full-data,1.0,postnet,8ugac5sn,5,contrast,0.871669,0.773632,0.872566
full-data,1.0,postnet,8ugac5sn,5,defocus_blur,0.897859,0.804253,0.898519
full-data,1.0,postnet,8ugac5sn,5,elastic,0.752566,0.682698,0.753367
full-data,1.0,postnet,8ugac5sn,5,fog,0.745600,0.698602,0.746208
full-data,1.0,postnet,8ugac5sn,5,frost,0.782446,0.746373,0.782880
full-data,1.0,postnet,8ugac5sn,5,frosted_glass_blur,0.844661,0.787359,0.845226
full-data,1.0,postnet,8ugac5sn,5,gaussian_noise,0.882594,0.801753,0.883087
full-data,1.0,postnet,8ugac5sn,5,impulse_noise,0.823271,0.641093,0.824800
full-data,1.0,postnet,8ugac5sn,5,jpeg,0.785653,0.721581,0.786344
full-data,1.0,postnet,8ugac5sn,5,motion_blur,0.799013,0.707947,0.799895
full-data,1.0,postnet,8ugac5sn,5,pixelate,0.773769,0.715091,0.774413
full-data,1.0,postnet,8ugac5sn,5,shot_noise,0.877943,0.819042,0.878292
full-data,1.0,postnet,8ugac5sn,5,snow,0.720462,0.678552,0.721039
full-data,1.0,postnet,8ugac5sn,5,zoom_blur,0.870409,0.788113,0.871040
full-data,1.0,loss-prediction,9fb4ansn,1,brightness,0.499849,0.500000,0.499849
full-data,1.0,loss-prediction,9fb4ansn,1,contrast,0.523232,0.500000,0.523232
full-data,1.0,loss-prediction,9fb4ansn,1,defocus_blur,0.513719,0.500000,0.513719
full-data,1.0,loss-prediction,9fb4ansn,1,elastic,0.641554,0.500000,0.641554
full-data,1.0,loss-prediction,9fb4ansn,1,fog,0.511378,0.500000,0.511378
full-data,1.0,loss-prediction,9fb4ansn,1,frost,0.574066,0.500000,0.574066
full-data,1.0,loss-prediction,9fb4ansn,1,frosted_glass_blur,0.830569,0.500000,0.830569
full-data,1.0,loss-prediction,9fb4ansn,1,gaussian_noise,0.650092,0.500000,0.650092
full-data,1.0,loss-prediction,9fb4ansn,1,impulse_noise,0.654381,0.500000,0.654381
full-data,1.0,loss-prediction,9fb4ansn,1,jpeg,0.631916,0.500000,0.631916
full-data,1.0,loss-prediction,9fb4ansn,1,motion_blur,0.620978,0.500000,0.620978
full-data,1.0,loss-prediction,9fb4ansn,1,pixelate,0.538940,0.500000,0.538940
full-data,1.0,loss-prediction,9fb4ansn,1,shot_noise,0.596710,0.500000,0.596710
full-data,1.0,loss-prediction,9fb4ansn,1,snow,0.609413,0.500000,0.609413
full-data,1.0,loss-prediction,9fb4ansn,1,zoom_blur,0.680406,0.500000,0.680406
full-data,1.0,loss-prediction,9fb4ansn,2,brightness,0.507123,0.500000,0.507123
full-data,1.0,loss-prediction,9fb4ansn,2,contrast,0.619765,0.500000,0.619765
full-data,1.0,loss-prediction,9fb4ansn,2,defocus_blur,0.571554,0.500000,0.571554
full-data,1.0,loss-prediction,9fb4ansn,2,elastic,0.643789,0.500000,0.643789
full-data,1.0,loss-prediction,9fb4ansn,2,fog,0.556347,0.500000,0.556347
full-data,1.0,loss-prediction,9fb4ansn,2,frost,0.635938,0.500000,0.635938
