phase,train_fraction,method,parameter_source,decomposition,num_samples,num_finite_samples,mean_aleatoric,mean_epistemic,std_aleatoric,std_epistemic,pearson_aleatoric_label_entropy,spearman_aleatoric_label_entropy,pearson_epistemic_label_entropy,spearman_epistemic_label_entropy,spearman_aleatoric_vote_disagreement,spearman_epistemic_vote_disagreement
full-data,1,deep-correctness-prediction,transferred-cifar-config-extra,bregman-estimated,977,977,0.3530355692,1.072580635e-10,0.2379796058,1.216615964e-08,0.06434710461,0.1370170168,,,0.09231129446,
full-data,1,deep-loss-prediction,transferred-cifar-config-extra,information-theoretic,977,977,0.09130101651,0,0.144518882,0,-0.07223458289,0.08533273018,,,0.04140900846,
full-data,1,deep-loss-prediction,transferred-cifar-config-extra,bregman-estimated,977,977,0.09130101651,2.199392335e-10,0.144518882,4.337821213e-09,-0.07223458289,0.08533273018,,,0.04140900846,
scarce-50pct,0.5,deep-correctness-prediction,transferred-cifar-config-extra,information-theoretic,977,977,0.3340080976,0,0.2474729419,0,0.07646293391,0.1224854522,,,0.1037246107,
scarce-50pct,0.5,deep-correctness-prediction,transferred-cifar-config-extra,bregman-estimated,977,977,0.3340080976,-3.095023404e-10,0.2474729419,1.074691358e-08,0.07646293391,0.1224854522,,,0.1037246107,
scarce-50pct,0.5,deep-loss-prediction,transferred-cifar-config-extra,information-theoretic,977,977,0.1921546757,0,0.223017931,0,-0.07054019832,0.01916109077,,,-0.01856159135,
scarce-50pct,0.5,deep-loss-prediction,transferred-cifar-config-extra,bregman-estimated,977,977,0.1921546757,3.570411466e-10,0.223017931,9.327208339e-09,-0.07054019832,0.01916109077,,,-0.01856159135,
scarce-10pct,0.1,deep-correctness-prediction,transferred-cifar-config-extra,information-theoretic,977,977,0.0396740362,0,0.1181295961,0,0.01935827049,0.1097208574,,,0.07278802433,
scarce-10pct,0.1,deep-correctness-prediction,transferred-cifar-config-extra,bregman-estimated,977,977,0.0396740362,6.100782379e-11,0.1181295961,1.905945624e-09,0.01935827049,0.1097208574,,,0.07278802433,
scarce-10pct,0.1,deep-loss-prediction,transferred-cifar-config-extra,information-theoretic,977,977,0.02381116897,0,0.09509330988,0,-0.07182908247,0.08911411997,,,0.06112279658,
scarce-10pct,0.1,deep-loss-prediction,transferred-cifar-config-extra,bregman-estimated,977,977,0.02381116897,-1.584239961e-10,0.09509330988,4.346157656e-09,-0.07182908247,0.08911411997,,,0.06112279658,
